pokemon_id,pokemon_name,height_m,weight_kg,base_experience,hp,attack,defense,special_attack,special_defense,speed
52,meowth,0.4,4.2,58.0,40,45,35,40,40,90
53,persian,1.0,32.0,154.0,65,70,60,65,65,115
54,psyduck,0.8,19.6,64.0,50,52,48,65,50,55
55,golduck,1.7,76.6,175.0,80,82,78,95,80,85
56,mankey,0.5,28.0,61.0,40,80,35,35,45,70
57,primeape,1.0,32.0,159.0,65,105,60,60,70,95
58,growlithe,0.7,19.0,70.0,55,70,45,70,50,60
59,arcanine,1.9,155.0,194.0,90,110,80,100,80,95
60,poliwag,0.6,12.4,60.0,40,50,40,40,40,90
61,poliwhirl,1.0,20.0,135.0,65,65,65,50,50,90
62,poliwrath,1.3,54.0,230.0,90,95,95,70,90,70
63,abra,0.9,19.5,62.0,25,20,15,105,55,90
64,kadabra,1.3,56.5,140.0,40,35,30,120,70,105
65,alakazam,1.5,48.0,225.0,55,50,45,135,95,120
66,machop,0.8,19.5,61.0,70,80,50,35,35,35
67,machoke,1.5,70.5,142.0,80,100,70,50,60,45
68,machamp,1.6,130.0,227.0,90,130,80,65,85,55
69,bellsprout,0.7,4.0,60.0,50,75,35,70,30,40
70,weepinbell,1.0,6.4,137.0,65,90,50,85,45,55
71,victreebel,1.7,15.5,221.0,80,105,65,100,70,70
72,tentacool,0.9,45.5,67.0,40,40,35,50,100,70
73,tentacruel,1.6,55.0,180.0,80,70,65,80,120,100
74,geodude,0.4,20.0,60.0,40,80,100,30,30,20
75,graveler,1.0,105.0,137.0,55,95,115,45,45,35
76,golem,1.4,300.0,223.0,80,120,130,55,65,45
77,ponyta,1.0,30.0,82.0,50,85,55,65,65,90
78,rapidash,1.7,95.0,175.0,65,100,70,80,80,105
79,slowpoke,1.2,36.0,63.0,90,65,65,40,40,15
80,slowbro,1.6,78.5,172.0,95,75,110,100,80,30
81,magnemite,0.3,6.0,65.0,25,35,70,95,55,45
82,magneton,1.0,60.0,163.0,50,60,95,120,70,70
83,farfetchd,0.8,15.0,132.0,52,90,55,58,62,60
84,doduo,1.4,39.2,62.0,35,85,45,35,35,75
85,dodrio,1.8,85.2,165.0,60,110,70,60,60,110
86,seel,1.1,90.0,65.0,65,45,55,45,70,45
87,dewgong,1.7,120.0,166.0,90,70,80,70,95,70
88,grimer,0.9,30.0,65.0,80,80,50,40,50,25
89,muk,1.2,30.0,175.0,105,105,75,65,100,50
90,shellder,0.3,4.0,61.0,30,65,100,45,25,40
91,cloyster,1.5,132.5,184.0,50,95,180,85,45,70
92,gastly,1.3,0.1,62.0,30,35,30,100,35,80
93,haunter,1.6,0.1,142.0,45,50,45,115,55,95
94,gengar,1.5,40.5,225.0,60,65,60,130,75,110
95,onix,8.8,210.0,77.0,35,45,160,30,45,70
96,drowzee,1.0,32.4,66.0,60,48,45,43,90,42
97,hypno,1.6,75.6,169.0,85,73,70,73,115,67
98,krabby,0.4,6.5,65.0,30,105,90,25,25,50
99,kingler,1.3,60.0,166.0,55,130,115,50,50,75
100,voltorb,0.5,10.4,66.0,40,30,50,55,55,100
101,electrode,1.2,66.6,172.0,60,50,70,80,80,150
102,exeggcute,0.4,2.5,65.0,60,40,80,60,45,40
103,exeggutor,2.0,120.0,186.0,95,95,85,125,75,55
104,cubone,0.4,6.5,64.0,50,50,95,40,50,35
105,marowak,1.0,45.0,149.0,60,80,110,50,80,45
106,hitmonlee,1.5,49.8,159.0,50,120,53,35,110,87
107,hitmonchan,1.4,50.2,159.0,50,105,79,35,110,76
108,lickitung,1.2,65.5,77.0,90,55,75,60,75,30
109,koffing,0.6,1.0,68.0,40,65,95,60,45,35
110,weezing,1.2,9.5,172.0,65,90,120,85,70,60
111,rhyhorn,1.0,115.0,69.0,80,85,95,30,30,25
112,rhydon,1.9,120.0,170.0,105,130,120,45,45,40
113,chansey,1.1,34.6,395.0,250,5,5,35,105,50
114,tangela,1.0,35.0,87.0,65,55,115,100,40,60
115,kangaskhan,2.2,80.0,172.0,105,95,80,40,80,90
116,horsea,0.4,8.0,59.0,30,40,70,70,25,60
117,seadra,1.2,25.0,154.0,55,65,95,95,45,85
118,goldeen,0.6,15.0,64.0,45,67,60,35,50,63
119,seaking,1.3,39.0,158.0,80,92,65,65,80,68
120,staryu,0.8,34.5,68.0,30,45,55,70,55,85
121,starmie,1.1,80.0,182.0,60,75,85,100,85,115
122,mr-mime,1.3,54.5,161.0,40,45,65,100,120,90
123,scyther,1.5,56.0,100.0,70,110,80,55,80,105
124,jynx,1.4,40.6,159.0,65,50,35,115,95,95
125,electabuzz,1.1,30.0,172.0,65,83,57,95,85,105
126,magmar,1.3,44.5,173.0,65,95,57,100,85,93
127,pinsir,1.5,55.0,175.0,65,125,100,55,70,85
128,tauros,1.4,88.4,172.0,75,100,95,40,70,110
129,magikarp,0.9,10.0,40.0,20,10,55,15,20,80
130,gyarados,6.5,235.0,189.0,95,125,79,60,100,81
131,lapras,2.5,220.0,187.0,130,85,80,85,95,60
132,ditto,0.3,4.0,101.0,48,48,48,48,48,48
133,eevee,0.3,6.5,65.0,55,55,50,45,65,55
134,vaporeon,1.0,29.0,184.0,130,65,60,110,95,65
135,jolteon,0.8,24.5,184.0,65,65,60,110,95,130
136,flareon,0.9,25.0,184.0,65,130,60,95,110,65
137,porygon,0.8,36.5,79.0,65,60,70,85,75,40
138,omanyte,0.4,7.5,71.0,35,40,100,90,55,35
139,omastar,1.0,35.0,173.0,70,60,125,115,70,55
140,kabuto,0.5,11.5,71.0,30,80,90,55,45,55
141,kabutops,1.3,40.5,173.0,60,115,105,65,70,80
142,aerodactyl,1.8,59.0,180.0,80,105,65,60,75,130
143,snorlax,2.1,460.0,189.0,160,110,65,65,110,30
144,articuno,1.7,55.4,261.0,90,85,100,95,125,85
145,zapdos,1.6,52.6,261.0,90,90,85,125,90,100
146,moltres,2.0,60.0,261.0,90,100,90,125,85,90
147,dratini,1.8,3.3,60.0,41,64,45,50,50,50
148,dragonair,4.0,16.5,147.0,61,84,65,70,70,70
149,dragonite,2.2,210.0,270.0,91,134,95,100,100,80
150,mewtwo,2.0,122.0,306.0,106,110,90,154,90,130
151,mew,0.4,4.0,270.0,100,100,100,100,100,100
152,chikorita,0.9,6.4,64.0,45,49,65,49,65,45
153,bayleef,1.2,15.8,142.0,60,62,80,63,80,60
154,meganium,1.8,100.5,236.0,80,82,100,83,100,80
155,cyndaquil,0.5,7.9,62.0,39,52,43,60,50,65
156,quilava,0.9,19.0,142.0,58,64,58,80,65,80
157,typhlosion,1.7,79.5,240.0,78,84,78,109,85,100
158,totodile,0.6,9.5,63.0,50,65,64,44,48,43
159,croconaw,1.1,25.0,142.0,65,80,80,59,63,58
160,feraligatr,2.3,88.8,239.0,85,105,100,79,83,78
161,sentret,0.8,6.0,43.0,35,46,34,35,45,20
162,furret,1.8,32.5,145.0,85,76,64,45,55,90
163,hoothoot,0.7,21.2,52.0,60,30,30,36,56,50
164,noctowl,1.6,40.8,158.0,100,50,50,86,96,70
165,ledyba,1.0,10.8,53.0,40,20,30,40,80,55
166,ledian,1.4,35.6,137.0,55,35,50,55,110,85
167,spinarak,0.5,8.5,50.0,40,60,40,40,40,30
168,ariados,1.1,33.5,140.0,70,90,70,60,70,40
169,crobat,1.8,75.0,241.0,85,90,80,70,80,130
170,chinchou,0.5,12.0,66.0,75,38,38,56,56,67
171,lanturn,1.2,22.5,161.0,125,58,58,76,76,67
172,pichu,0.3,2.0,41.0,20,40,15,35,35,60
173,cleffa,0.3,3.0,44.0,50,25,28,45,55,15
174,igglybuff,0.3,1.0,42.0,90,30,15,40,20,15
175,togepi,0.3,1.5,49.0,35,20,65,40,65,20
176,togetic,0.6,3.2,142.0,55,40,85,80,105,40
177,natu,0.2,2.0,64.0,40,50,45,70,45,70
178,xatu,1.5,15.0,165.0,65,75,70,95,70,95
179,mareep,0.6,7.8,56.0,55,40,40,65,45,35
180,flaaffy,0.8,13.3,128.0,70,55,55,80,60,45
181,ampharos,1.4,61.5,230.0,90,75,85,115,90,55
182,bellossom,0.4,5.8,221.0,75,80,95,90,100,50
183,marill,0.4,8.5,88.0,70,20,50,20,50,40
184,azumarill,0.8,28.5,189.0,100,50,80,60,80,50
185,sudowoodo,1.2,38.0,144.0,70,100,115,30,65,30
186,politoed,1.1,33.9,225.0,90,75,75,90,100,70
187,hoppip,0.4,0.5,50.0,35,35,40,35,55,50
188,skiploom,0.6,1.0,119.0,55,45,50,45,65,80
189,jumpluff,0.8,3.0,207.0,75,55,70,55,95,110
190,aipom,0.8,11.5,72.0,55,70,55,40,55,85
191,sunkern,0.3,1.8,36.0,30,30,30,30,30,30
192,sunflora,0.8,8.5,149.0,75,75,55,105,85,30
193,yanma,1.2,38.0,78.0,65,65,45,75,45,95
194,wooper,0.4,8.5,42.0,55,45,45,25,25,15
195,quagsire,1.4,75.0,151.0,95,85,85,65,65,35
196,espeon,0.9,26.5,184.0,65,65,60,130,95,110
197,umbreon,1.0,27.0,184.0,95,65,110,60,130,65
198,murkrow,0.5,2.1,81.0,60,85,42,85,42,91
199,slowking,2.0,79.5,172.0,95,75,80,100,110,30
200,misdreavus,0.7,1.0,87.0,60,60,60,85,85,85
201,unown,0.5,5.0,118.0,48,72,48,72,48,48
202,wobbuffet,1.3,28.5,142.0,190,33,58,33,58,33
203,girafarig,1.5,41.5,159.0,70,80,65,90,65,85
204,pineco,0.6,7.2,58.0,50,65,90,35,35,15
205,forretress,1.2,125.8,163.0,75,90,140,60,60,40
206,dunsparce,1.5,14.0,145.0,100,70,70,65,65,45
207,gligar,1.1,64.8,86.0,65,75,105,35,65,85
208,steelix,9.2,400.0,179.0,75,85,200,55,65,30
209,snubbull,0.6,7.8,60.0,60,80,50,40,40,30
210,granbull,1.4,48.7,158.0,90,120,75,60,60,45
211,qwilfish,0.5,3.9,88.0,65,95,85,55,55,85
212,scizor,1.8,118.0,175.0,70,130,100,55,80,65
213,shuckle,0.6,20.5,177.0,20,10,230,10,230,5
214,heracross,1.5,54.0,175.0,80,125,75,40,95,85
215,sneasel,0.9,28.0,86.0,55,95,55,35,75,115
216,teddiursa,0.6,8.8,66.0,60,80,50,50,50,40
217,ursaring,1.8,125.8,175.0,90,130,75,75,75,55
218,slugma,0.7,35.0,50.0,40,40,40,70,40,20
219,magcargo,0.8,55.0,151.0,60,50,120,90,80,30
220,swinub,0.4,6.5,50.0,50,50,40,30,30,50
221,piloswine,1.1,55.8,158.0,100,100,80,60,60,50
222,corsola,0.6,5.0,144.0,65,55,95,65,95,35
223,remoraid,0.6,12.0,60.0,35,65,35,65,35,65
224,octillery,0.9,28.5,168.0,75,105,75,105,75,45
225,delibird,0.9,16.0,116.0,45,55,45,65,45,75
226,mantine,2.1,220.0,170.0,85,40,70,80,140,70
227,skarmory,1.7,50.5,163.0,65,80,140,40,70,70
228,houndour,0.6,10.8,66.0,45,60,30,80,50,65
229,houndoom,1.4,35.0,175.0,75,90,50,110,80,95
230,kingdra,1.8,152.0,243.0,75,95,95,95,95,85
231,phanpy,0.5,33.5,66.0,90,60,60,40,40,40
232,donphan,1.1,120.0,175.0,90,120,120,60,60,50
233,porygon2,0.6,32.5,180.0,85,80,90,105,95,60
234,stantler,1.4,71.2,163.0,73,95,62,85,65,85
235,smeargle,1.2,58.0,88.0,55,20,35,20,45,75
236,tyrogue,0.7,21.0,42.0,35,35,35,35,35,35
237,hitmontop,1.4,48.0,159.0,50,95,95,35,110,70
238,smoochum,0.4,6.0,61.0,45,30,15,85,65,65
239,elekid,0.6,23.5,72.0,45,63,37,65,55,95
240,magby,0.7,21.4,73.0,45,75,37,70,55,83
241,miltank,1.2,75.5,172.0,95,80,105,40,70,100
242,blissey,1.5,46.8,608.0,255,10,10,75,135,55
243,raikou,1.9,178.0,261.0,90,85,75,115,100,115
244,entei,2.1,198.0,261.0,115,115,85,90,75,100
245,suicune,2.0,187.0,261.0,100,75,115,90,115,85
246,larvitar,0.6,72.0,60.0,50,64,50,45,50,41
247,pupitar,1.2,152.0,144.0,70,84,70,65,70,51
248,tyranitar,2.0,202.0,270.0,100,134,110,95,100,61
249,lugia,5.2,216.0,306.0,106,90,130,90,154,110
250,ho-oh,3.8,199.0,306.0,106,130,90,110,154,90
251,celebi,0.6,5.0,270.0,100,100,100,100,100,100
252,treecko,0.5,5.0,62.0,40,45,35,65,55,70
253,grovyle,0.9,21.6,142.0,50,65,45,85,65,95
254,sceptile,1.7,52.2,239.0,70,85,65,105,85,120
255,torchic,0.4,2.5,62.0,45,60,40,70,50,45
256,combusken,0.9,19.5,142.0,60,85,60,85,60,55
257,blaziken,1.9,52.0,239.0,80,120,70,110,70,80
258,mudkip,0.4,7.6,62.0,50,70,50,50,50,40
259,marshtomp,0.7,28.0,142.0,70,85,70,60,70,50
260,swampert,1.5,81.9,241.0,100,110,90,85,90,60
261,poochyena,0.5,13.6,56.0,35,55,35,30,30,35
262,mightyena,1.0,37.0,147.0,70,90,70,60,60,70
263,zigzagoon,0.4,17.5,56.0,38,30,41,30,41,60
264,linoone,0.5,32.5,147.0,78,70,61,50,61,100
265,wurmple,0.3,3.6,56.0,45,45,35,20,30,20
266,silcoon,0.6,10.0,72.0,50,35,55,25,25,15
267,beautifly,1.0,28.4,178.0,60,70,50,100,50,65
268,cascoon,0.7,11.5,72.0,50,35,55,25,25,15
269,dustox,1.2,31.6,173.0,60,50,70,50,90,65
270,lotad,0.5,2.6,44.0,40,30,30,40,50,30
271,lombre,1.2,32.5,119.0,60,50,50,60,70,50
272,ludicolo,1.5,55.0,216.0,80,70,70,90,100,70
273,seedot,0.5,4.0,44.0,40,40,50,30,30,30
274,nuzleaf,1.0,28.0,119.0,70,70,40,60,40,60
275,shiftry,1.3,59.6,216.0,90,100,60,90,60,80
276,taillow,0.3,2.3,54.0,40,55,30,30,30,85
277,swellow,0.7,19.8,159.0,60,85,60,75,50,125
278,wingull,0.6,9.5,54.0,40,30,30,55,30,85
279,pelipper,1.2,28.0,154.0,60,50,100,95,70,65
280,ralts,0.4,6.6,40.0,28,25,25,45,35,40
281,kirlia,0.8,20.2,97.0,38,35,35,65,55,50
282,gardevoir,1.6,48.4,233.0,68,65,65,125,115,80
283,surskit,0.5,1.7,54.0,40,30,32,50,52,65
284,masquerain,0.8,3.6,159.0,70,60,62,100,82,80
285,shroomish,0.4,4.5,59.0,60,40,60,40,60,35
286,breloom,1.2,39.2,161.0,60,130,80,60,60,70
287,slakoth,0.8,24.0,56.0,60,60,60,35,35,30
288,vigoroth,1.4,46.5,154.0,80,80,80,55,55,90
289,slaking,2.0,130.5,252.0,150,160,100,95,65,100
290,nincada,0.5,5.5,53.0,31,45,90,30,30,40
291,ninjask,0.8,12.0,160.0,61,90,45,50,50,160
292,shedinja,0.8,1.2,83.0,1,90,45,30,30,40
293,whismur,0.6,16.3,48.0,64,51,23,51,23,28
294,loudred,1.0,40.5,126.0,84,71,43,71,43,48
295,exploud,1.5,84.0,221.0,104,91,63,91,73,68
296,makuhita,1.0,86.4,47.0,72,60,30,20,30,25
297,hariyama,2.3,253.8,166.0,144,120,60,40,60,50
298,azurill,0.2,2.0,38.0,50,20,40,20,40,20
299,nosepass,1.0,97.0,75.0,30,45,135,45,90,30
300,skitty,0.6,11.0,52.0,50,45,45,35,35,50
301,delcatty,1.1,32.6,140.0,70,65,65,55,55,90
302,sableye,0.5,11.0,133.0,50,75,75,65,65,50
303,mawile,0.6,11.5,133.0,50,85,85,55,55,50
304,aron,0.4,60.0,66.0,50,70,100,40,40,30
305,lairon,0.9,120.0,151.0,60,90,140,50,50,40
306,aggron,2.1,360.0,239.0,70,110,180,60,60,50
307,meditite,0.6,11.2,56.0,30,40,55,40,55,60
308,medicham,1.3,31.5,144.0,60,60,75,60,75,80
309,electrike,0.6,15.2,59.0,40,45,40,65,40,65
310,manectric,1.5,40.2,166.0,70,75,60,105,60,105
311,plusle,0.4,4.2,142.0,60,50,40,85,75,95
312,minun,0.4,4.2,142.0,60,40,50,75,85,95
313,volbeat,0.7,17.7,151.0,65,73,75,47,85,85
314,illumise,0.6,17.7,151.0,65,47,75,73,85,85
315,roselia,0.3,2.0,140.0,50,60,45,100,80,65
316,gulpin,0.4,10.3,60.0,70,43,53,43,53,40
317,swalot,1.7,80.0,163.0,100,73,83,73,83,55
318,carvanha,0.8,20.8,61.0,45,90,20,65,20,65
319,sharpedo,1.8,88.8,161.0,70,120,40,95,40,95
320,wailmer,2.0,130.0,80.0,130,70,35,70,35,60
321,wailord,14.5,398.0,175.0,170,90,45,90,45,60
322,numel,0.7,24.0,61.0,60,60,40,65,45,35
323,camerupt,1.9,220.0,161.0,70,100,70,105,75,40
324,torkoal,0.5,80.4,165.0,70,85,140,85,70,20
325,spoink,0.7,30.6,66.0,60,25,35,70,80,60
326,grumpig,0.9,71.5,165.0,80,45,65,90,110,80
327,spinda,1.1,5.0,126.0,60,60,60,60,60,60
328,trapinch,0.7,15.0,58.0,45,100,45,45,45,10
329,vibrava,1.1,15.3,119.0,50,70,50,50,50,70
330,flygon,2.0,82.0,234.0,80,100,80,80,80,100
331,cacnea,0.4,51.3,67.0,50,85,40,85,40,35
332,cacturne,1.3,77.4,166.0,70,115,60,115,60,55
333,swablu,0.4,1.2,62.0,45,40,60,40,75,50
334,altaria,1.1,20.6,172.0,75,70,90,70,105,80
335,zangoose,1.3,40.3,160.0,73,115,60,60,60,90
336,seviper,2.7,52.5,160.0,73,100,60,100,60,65
337,lunatone,1.0,168.0,161.0,90,55,65,95,85,70
338,solrock,1.2,154.0,161.0,90,95,85,55,65,70
339,barboach,0.4,1.9,58.0,50,48,43,46,41,60
340,whiscash,0.9,23.6,164.0,110,78,73,76,71,60
341,corphish,0.6,11.5,62.0,43,80,65,50,35,35
342,crawdaunt,1.1,32.8,164.0,63,120,85,90,55,55
343,baltoy,0.5,21.5,60.0,40,40,55,40,70,55
344,claydol,1.5,108.0,175.0,60,70,105,70,120,75
345,lileep,1.0,23.8,71.0,66,41,77,61,87,23
346,cradily,1.5,60.4,173.0,86,81,97,81,107,43
347,anorith,0.7,12.5,71.0,45,95,50,40,50,75
348,armaldo,1.5,68.2,173.0,75,125,100,70,80,45
349,feebas,0.6,7.4,40.0,20,15,20,10,55,80
350,milotic,6.2,162.0,189.0,95,60,79,100,125,81
351,castform,0.3,0.8,147.0,70,70,70,70,70,70
352,kecleon,1.0,22.0,154.0,60,90,70,60,120,40
353,shuppet,0.6,2.3,59.0,44,75,35,63,33,45
354,banette,1.1,12.5,159.0,64,115,65,83,63,65
355,duskull,0.8,15.0,59.0,20,40,90,30,90,25
356,dusclops,1.6,30.6,159.0,40,70,130,60,130,25
357,tropius,2.0,100.0,161.0,99,68,83,72,87,51
358,chimecho,0.6,1.0,159.0,75,50,80,95,90,65
359,absol,1.2,47.0,163.0,65,130,60,75,60,75
360,wynaut,0.6,14.0,52.0,95,23,48,23,48,23
361,snorunt,0.7,16.8,60.0,50,50,50,50,50,50
362,glalie,1.5,256.5,168.0,80,80,80,80,80,80
363,spheal,0.8,39.5,58.0,70,40,50,55,50,25
364,sealeo,1.1,87.6,144.0,90,60,70,75,70,45
365,walrein,1.4,150.6,239.0,110,80,90,95,90,65
366,clamperl,0.4,52.5,69.0,35,64,85,74,55,32
367,huntail,1.7,27.0,170.0,55,104,105,94,75,52
368,gorebyss,1.8,22.6,170.0,55,84,105,114,75,52
369,relicanth,1.0,23.4,170.0,100,90,130,45,65,55
370,luvdisc,0.6,8.7,116.0,43,30,55,40,65,97
371,bagon,0.6,42.1,60.0,45,75,60,40,30,50
372,shelgon,1.1,110.5,147.0,65,95,100,60,50,50
373,salamence,1.5,102.6,270.0,95,135,80,110,80,100
374,beldum,0.6,95.2,60.0,40,55,80,35,60,30
375,metang,1.2,202.5,147.0,60,75,100,55,80,50
376,metagross,1.6,550.0,270.0,80,135,130,95,90,70
377,regirock,1.7,230.0,261.0,80,100,200,50,100,50
378,regice,1.8,175.0,261.0,80,50,100,100,200,50
379,registeel,1.9,205.0,261.0,80,75,150,75,150,50
380,latias,1.4,40.0,270.0,80,80,90,110,130,110
381,latios,2.0,60.0,270.0,80,90,80,130,110,110
382,kyogre,4.5,352.0,302.0,100,100,90,150,140,90
383,groudon,3.5,950.0,302.0,100,150,140,100,90,90
384,rayquaza,7.0,206.5,306.0,105,150,90,150,90,95
385,jirachi,0.3,1.1,270.0,100,100,100,100,100,100
386,deoxys-normal,1.7,60.8,270.0,50,150,50,150,50,150
387,turtwig,0.4,10.2,64.0,55,68,64,45,55,31
388,grotle,1.1,97.0,142.0,75,89,85,55,65,36
389,torterra,2.2,310.0,236.0,95,109,105,75,85,56
390,chimchar,0.5,6.2,62.0,44,58,44,58,44,61
391,monferno,0.9,22.0,142.0,64,78,52,78,52,81
392,infernape,1.2,55.0,240.0,76,104,71,104,71,108
393,piplup,0.4,5.2,63.0,53,51,53,61,56,40
394,prinplup,0.8,23.0,142.0,64,66,68,81,76,50
395,empoleon,1.7,84.5,239.0,84,86,88,111,101,60
396,starly,0.3,2.0,49.0,40,55,30,30,30,60
397,staravia,0.6,15.5,119.0,55,75,50,40,40,80
398,staraptor,1.2,24.9,218.0,85,120,70,50,60,100
399,bidoof,0.5,20.0,50.0,59,45,40,35,40,31
400,bibarel,1.0,31.5,144.0,79,85,60,55,60,71
401,kricketot,0.3,2.2,39.0,37,25,41,25,41,25
402,kricketune,1.0,25.5,134.0,77,85,51,55,51,65
403,shinx,0.5,9.5,53.0,45,65,34,40,34,45
404,luxio,0.9,30.5,127.0,60,85,49,60,49,60
405,luxray,1.4,42.0,235.0,80,120,79,95,79,70
406,budew,0.2,1.2,56.0,40,30,35,50,70,55
407,roserade,0.9,14.5,232.0,60,70,65,125,105,90
408,cranidos,0.9,31.5,70.0,67,125,40,30,30,58
409,rampardos,1.6,102.5,173.0,97,165,60,65,50,58
410,shieldon,0.5,57.0,70.0,30,42,118,42,88,30
411,bastiodon,1.3,149.5,173.0,60,52,168,47,138,30
412,burmy,0.2,3.4,45.0,40,29,45,29,45,36
413,wormadam-plant,0.5,6.5,148.0,60,59,85,79,105,36
414,mothim,0.9,23.3,148.0,70,94,50,94,50,66
415,combee,0.3,5.5,49.0,30,30,42,30,42,70
416,vespiquen,1.2,38.5,166.0,70,80,102,80,102,40
417,pachirisu,0.4,3.9,142.0,60,45,70,45,90,95
418,buizel,0.7,29.5,66.0,55,65,35,60,30,85
419,floatzel,1.1,33.5,173.0,85,105,55,85,50,115
420,cherubi,0.4,3.3,55.0,45,35,45,62,53,35
421,cherrim,0.5,9.3,158.0,70,60,70,87,78,85
422,shellos,0.3,6.3,65.0,76,48,48,57,62,34
423,gastrodon,0.9,29.9,166.0,111,83,68,92,82,39
424,ambipom,1.2,20.3,169.0,75,100,66,60,66,115
425,drifloon,0.4,1.2,70.0,90,50,34,60,44,70
426,drifblim,1.2,15.0,174.0,150,80,44,90,54,80
427,buneary,0.4,5.5,70.0,55,66,44,44,56,85
428,lopunny,1.2,33.3,168.0,65,76,84,54,96,105
429,mismagius,0.9,4.4,173.0,60,60,60,105,105,105
430,honchkrow,0.9,27.3,177.0,100,125,52,105,52,71
431,glameow,0.5,3.9,62.0,49,55,42,42,37,85
432,purugly,1.0,43.8,158.0,71,82,64,64,59,112
433,chingling,0.2,0.6,57.0,45,30,50,65,50,45
434,stunky,0.4,19.2,66.0,63,63,47,41,41,74
435,skuntank,1.0,38.0,168.0,103,93,67,71,61,84
436,bronzor,0.5,60.5,60.0,57,24,86,24,86,23
437,bronzong,1.3,187.0,175.0,67,89,116,79,116,33
438,bonsly,0.5,15.0,58.0,50,80,95,10,45,10
439,mime-jr,0.6,13.0,62.0,20,25,45,70,90,60
440,happiny,0.6,24.4,110.0,100,5,5,15,65,30
441,chatot,0.5,1.9,144.0,76,65,45,92,42,91
442,spiritomb,1.0,108.0,170.0,50,92,108,92,108,35
443,gible,0.7,20.5,60.0,58,70,45,40,45,42
444,gabite,1.4,56.0,144.0,68,90,65,50,55,82
445,garchomp,1.9,95.0,270.0,108,130,95,80,85,102
446,munchlax,0.6,105.0,78.0,135,85,40,40,85,5
447,riolu,0.7,20.2,57.0,40,70,40,35,40,60
448,lucario,1.2,54.0,184.0,70,110,70,115,70,90
449,hippopotas,0.8,49.5,66.0,68,72,78,38,42,32
450,hippowdon,2.0,300.0,184.0,108,112,118,68,72,47
451,skorupi,0.8,12.0,66.0,40,50,90,30,55,65
452,drapion,1.3,61.5,175.0,70,90,110,60,75,95
453,croagunk,0.7,23.0,60.0,48,61,40,61,40,50
