move_id,move_name,move_type,power,accuracy,pp,priority,damage_class,generation
279,revenge,fighting,60.0,100.0,10,-4,physical,generation-iii
28,sand-attack,ground,,100.0,15,0,status,generation-i
280,brick-break,fighting,75.0,100.0,15,0,physical,generation-iii
281,yawn,normal,,,10,0,status,generation-iii
282,knock-off,dark,65.0,100.0,20,0,physical,generation-iii
283,endeavor,normal,,100.0,5,0,physical,generation-iii
284,eruption,fire,150.0,100.0,5,0,special,generation-iii
285,skill-swap,psychic,,,10,0,status,generation-iii
286,imprison,psychic,,,10,0,status,generation-iii
287,refresh,normal,,,20,0,status,generation-iii
288,grudge,ghost,,,5,0,status,generation-iii
289,snatch,dark,,,10,4,status,generation-iii
29,headbutt,normal,70.0,100.0,15,0,physical,generation-i
290,secret-power,normal,70.0,100.0,20,0,physical,generation-iii
291,dive,water,80.0,100.0,10,0,physical,generation-iii
292,arm-thrust,fighting,15.0,100.0,20,0,physical,generation-iii
293,camouflage,normal,,,20,0,status,generation-iii
294,tail-glow,bug,,,20,0,status,generation-iii
295,luster-purge,psychic,95.0,100.0,5,0,special,generation-iii
296,mist-ball,psychic,95.0,100.0,5,0,special,generation-iii
297,feather-dance,flying,,100.0,15,0,status,generation-iii
298,teeter-dance,normal,,100.0,20,0,status,generation-iii
299,blaze-kick,fire,85.0,90.0,10,0,physical,generation-iii
3,double-slap,normal,15.0,85.0,10,0,physical,generation-i
30,horn-attack,normal,65.0,100.0,25,0,physical,generation-i
300,mud-sport,ground,,,15,0,status,generation-iii
301,ice-ball,ice,30.0,90.0,20,0,physical,generation-iii
302,needle-arm,grass,60.0,100.0,15,0,physical,generation-iii
303,slack-off,normal,,,5,0,status,generation-iii
304,hyper-voice,normal,90.0,100.0,10,0,special,generation-iii
305,poison-fang,poison,50.0,100.0,15,0,physical,generation-iii
306,crush-claw,normal,75.0,95.0,10,0,physical,generation-iii
307,blast-burn,fire,150.0,90.0,5,0,special,generation-iii
308,hydro-cannon,water,150.0,90.0,5,0,special,generation-iii
309,meteor-mash,steel,90.0,90.0,10,0,physical,generation-iii
31,fury-attack,normal,15.0,85.0,20,0,physical,generation-i
310,astonish,ghost,30.0,100.0,15,0,physical,generation-iii
311,weather-ball,normal,50.0,100.0,10,0,special,generation-iii
312,aromatherapy,grass,,,5,0,status,generation-iii
313,fake-tears,dark,,100.0,20,0,status,generation-iii
314,air-cutter,flying,60.0,95.0,25,0,special,generation-iii
315,overheat,fire,130.0,90.0,5,0,special,generation-iii
316,odor-sleuth,normal,,,40,0,status,generation-iii
317,rock-tomb,rock,60.0,95.0,15,0,physical,generation-iii
318,silver-wind,bug,60.0,100.0,5,0,special,generation-iii
319,metal-sound,steel,,85.0,40,0,status,generation-iii
32,horn-drill,normal,,30.0,5,0,physical,generation-i
320,grass-whistle,grass,,55.0,15,0,status,generation-iii
321,tickle,normal,,100.0,20,0,status,generation-iii
322,cosmic-power,psychic,,,20,0,status,generation-iii
323,water-spout,water,150.0,100.0,5,0,special,generation-iii
324,signal-beam,bug,75.0,100.0,15,0,special,generation-iii
325,shadow-punch,ghost,60.0,,20,0,physical,generation-iii
326,extrasensory,psychic,80.0,100.0,20,0,special,generation-iii
327,sky-uppercut,fighting,85.0,90.0,15,0,physical,generation-iii
328,sand-tomb,ground,35.0,85.0,15,0,physical,generation-iii
329,sheer-cold,ice,,30.0,5,0,special,generation-iii
33,tackle,normal,40.0,100.0,35,0,physical,generation-i
330,muddy-water,water,90.0,85.0,10,0,special,generation-iii
331,bullet-seed,grass,25.0,100.0,30,0,physical,generation-iii
332,aerial-ace,flying,60.0,,20,0,physical,generation-iii
333,icicle-spear,ice,25.0,100.0,30,0,physical,generation-iii
334,iron-defense,steel,,,15,0,status,generation-iii
335,block,normal,,,5,0,status,generation-iii
336,howl,normal,,,40,0,status,generation-iii
337,dragon-claw,dragon,80.0,100.0,15,0,physical,generation-iii
338,frenzy-plant,grass,150.0,90.0,5,0,special,generation-iii
339,bulk-up,fighting,,,20,0,status,generation-iii
34,body-slam,normal,85.0,100.0,15,0,physical,generation-i
340,bounce,flying,85.0,85.0,5,0,physical,generation-iii
341,mud-shot,ground,55.0,95.0,15,0,special,generation-iii
342,poison-tail,poison,50.0,100.0,25,0,physical,generation-iii
343,covet,normal,60.0,100.0,25,0,physical,generation-iii
344,volt-tackle,electric,120.0,100.0,15,0,physical,generation-iii
345,magical-leaf,grass,60.0,,20,0,special,generation-iii
346,water-sport,water,,,15,0,status,generation-iii
347,calm-mind,psychic,,,20,0,status,generation-iii
348,leaf-blade,grass,90.0,100.0,15,0,physical,generation-iii
349,dragon-dance,dragon,,,20,0,status,generation-iii
35,wrap,normal,15.0,90.0,20,0,physical,generation-i
350,rock-blast,rock,25.0,90.0,10,0,physical,generation-iii
351,shock-wave,electric,60.0,,20,0,special,generation-iii
352,water-pulse,water,60.0,100.0,20,0,special,generation-iii
353,doom-desire,steel,140.0,100.0,5,0,special,generation-iii
354,psycho-boost,psychic,140.0,90.0,5,0,special,generation-iii
355,roost,flying,,,5,0,status,generation-iv
356,gravity,psychic,,,5,0,status,generation-iv
357,miracle-eye,psychic,,,40,0,status,generation-iv
358,wake-up-slap,fighting,70.0,100.0,10,0,physical,generation-iv
359,hammer-arm,fighting,100.0,90.0,10,0,physical,generation-iv
36,take-down,normal,90.0,85.0,20,0,physical,generation-i
360,gyro-ball,steel,,100.0,5,0,physical,generation-iv
361,healing-wish,psychic,,,10,0,status,generation-iv
362,brine,water,65.0,100.0,10,0,special,generation-iv
363,natural-gift,normal,,100.0,15,0,physical,generation-iv
364,feint,normal,30.0,100.0,10,2,physical,generation-iv
365,pluck,flying,60.0,100.0,20,0,physical,generation-iv
366,tailwind,flying,,,15,0,status,generation-iv
367,acupressure,normal,,,30,0,status,generation-iv
368,metal-burst,steel,,100.0,10,0,physical,generation-iv
369,u-turn,bug,70.0,100.0,20,0,physical,generation-iv
37,thrash,normal,120.0,100.0,10,0,physical,generation-i
370,close-combat,fighting,120.0,100.0,5,0,physical,generation-iv
371,payback,dark,50.0,100.0,10,0,physical,generation-iv
372,assurance,dark,60.0,100.0,10,0,physical,generation-iv
373,embargo,dark,,100.0,15,0,status,generation-iv
374,fling,dark,,100.0,10,0,physical,generation-iv
375,psycho-shift,psychic,,100.0,10,0,status,generation-iv
376,trump-card,normal,,,5,0,special,generation-iv
377,heal-block,psychic,,100.0,15,0,status,generation-iv
378,wring-out,normal,,100.0,5,0,special,generation-iv
379,power-trick,psychic,,,10,0,status,generation-iv
38,double-edge,normal,120.0,100.0,15,0,physical,generation-i
380,gastro-acid,poison,,100.0,10,0,status,generation-iv
381,lucky-chant,normal,,,30,0,status,generation-iv
382,me-first,normal,,,20,0,status,generation-iv
383,copycat,normal,,,20,0,status,generation-iv
384,power-swap,psychic,,,10,0,status,generation-iv
385,guard-swap,psychic,,,10,0,status,generation-iv
386,punishment,dark,,100.0,5,0,physical,generation-iv
387,last-resort,normal,140.0,100.0,5,0,physical,generation-iv
388,worry-seed,grass,,100.0,10,0,status,generation-iv
389,sucker-punch,dark,70.0,100.0,5,1,physical,generation-iv
39,tail-whip,normal,,100.0,30,0,status,generation-i
390,toxic-spikes,poison,,,20,0,status,generation-iv
391,heart-swap,psychic,,,10,0,status,generation-iv
392,aqua-ring,water,,,20,0,status,generation-iv
393,magnet-rise,electric,,,10,0,status,generation-iv
394,flare-blitz,fire,120.0,100.0,15,0,physical,generation-iv
395,force-palm,fighting,60.0,100.0,10,0,physical,generation-iv
396,aura-sphere,fighting,80.0,,20,0,special,generation-iv
397,rock-polish,rock,,,20,0,status,generation-iv
398,poison-jab,poison,80.0,100.0,20,0,physical,generation-iv
399,dark-pulse,dark,80.0,100.0,15,0,special,generation-iv
4,comet-punch,normal,18.0,85.0,15,0,physical,generation-i
40,poison-sting,poison,15.0,100.0,35,0,physical,generation-i
400,night-slash,dark,70.0,100.0,15,0,physical,generation-iv
401,aqua-tail,water,90.0,90.0,10,0,physical,generation-iv
402,seed-bomb,grass,80.0,100.0,15,0,physical,generation-iv
403,air-slash,flying,75.0,95.0,15,0,special,generation-iv
404,x-scissor,bug,80.0,100.0,15,0,physical,generation-iv
405,bug-buzz,bug,90.0,100.0,10,0,special,generation-iv
406,dragon-pulse,dragon,85.0,100.0,10,0,special,generation-iv
407,dragon-rush,dragon,100.0,75.0,10,0,physical,generation-iv
408,power-gem,rock,80.0,100.0,20,0,special,generation-iv
409,drain-punch,fighting,75.0,100.0,10,0,physical,generation-iv
41,twineedle,bug,25.0,100.0,20,0,physical,generation-i
410,vacuum-wave,fighting,40.0,100.0,30,1,special,generation-iv
411,focus-blast,fighting,120.0,70.0,5,0,special,generation-iv
412,energy-ball,grass,90.0,100.0,10,0,special,generation-iv
413,brave-bird,flying,120.0,100.0,15,0,physical,generation-iv
414,earth-power,ground,90.0,100.0,10,0,special,generation-iv
415,switcheroo,dark,,100.0,10,0,status,generation-iv
416,giga-impact,normal,150.0,90.0,5,0,physical,generation-iv
417,nasty-plot,dark,,,20,0,status,generation-iv
418,bullet-punch,steel,40.0,100.0,30,1,physical,generation-iv
419,avalanche,ice,60.0,100.0,10,-4,physical,generation-iv
42,pin-missile,bug,25.0,95.0,20,0,physical,generation-i
420,ice-shard,ice,40.0,100.0,30,1,physical,generation-iv
421,shadow-claw,ghost,70.0,100.0,15,0,physical,generation-iv
422,thunder-fang,electric,65.0,95.0,15,0,physical,generation-iv
423,ice-fang,ice,65.0,95.0,15,0,physical,generation-iv
424,fire-fang,fire,65.0,95.0,15,0,physical,generation-iv
425,shadow-sneak,ghost,40.0,100.0,30,1,physical,generation-iv
426,mud-bomb,ground,65.0,85.0,10,0,special,generation-iv
427,psycho-cut,psychic,70.0,100.0,20,0,physical,generation-iv
428,zen-headbutt,psychic,80.0,90.0,15,0,physical,generation-iv
429,mirror-shot,steel,65.0,85.0,10,0,special,generation-iv
43,leer,normal,,100.0,30,0,status,generation-i
430,flash-cannon,steel,80.0,100.0,10,0,special,generation-iv
431,rock-climb,normal,90.0,85.0,20,0,physical,generation-iv
432,defog,flying,,,15,0,status,generation-iv
433,trick-room,psychic,,,5,-7,status,generation-iv
434,draco-meteor,dragon,130.0,90.0,5,0,special,generation-iv
435,discharge,electric,80.0,100.0,15,0,special,generation-iv
436,lava-plume,fire,80.0,100.0,15,0,special,generation-iv
437,leaf-storm,grass,130.0,90.0,5,0,special,generation-iv
438,power-whip,grass,120.0,85.0,10,0,physical,generation-iv
439,rock-wrecker,rock,150.0,90.0,5,0,physical,generation-iv
44,bite,dark,60.0,100.0,25,0,physical,generation-i
440,cross-poison,poison,70.0,100.0,20,0,physical,generation-iv
441,gunk-shot,poison,120.0,80.0,5,0,physical,generation-iv
442,iron-head,steel,80.0,100.0,15,0,physical,generation-iv
443,magnet-bomb,steel,60.0,,20,0,physical,generation-iv
444,stone-edge,rock,100.0,80.0,5,0,physical,generation-iv
445,captivate,normal,,100.0,20,0,status,generation-iv
446,stealth-rock,rock,,,20,0,status,generation-iv
447,grass-knot,grass,,100.0,20,0,special,generation-iv
448,chatter,flying,65.0,100.0,20,0,special,generation-iv
449,judgment,normal,100.0,100.0,10,0,special,generation-iv
45,growl,normal,,100.0,40,0,status,generation-i
450,bug-bite,bug,60.0,100.0,20,0,physical,generation-iv
451,charge-beam,electric,50.0,90.0,10,0,special,generation-iv
452,wood-hammer,grass,120.0,100.0,15,0,physical,generation-iv
453,aqua-jet,water,40.0,100.0,20,1,physical,generation-iv
454,attack-order,bug,90.0,100.0,15,0,physical,generation-iv
455,defend-order,bug,,,10,0,status,generation-iv
456,heal-order,bug,,,10,0,status,generation-iv
457,head-smash,rock,150.0,80.0,5,0,physical,generation-iv
458,double-hit,normal,35.0,90.0,10,0,physical,generation-iv
459,roar-of-time,dragon,150.0,90.0,5,0,special,generation-iv
46,roar,normal,,,20,-6,status,generation-i
460,spacial-rend,dragon,100.0,95.0,5,0,special,generation-iv
461,lunar-dance,psychic,,,10,0,status,generation-iv
462,crush-grip,normal,,100.0,5,0,physical,generation-iv
463,magma-storm,fire,100.0,75.0,5,0,special,generation-iv
464,dark-void,dark,,50.0,10,0,status,generation-iv
465,seed-flare,grass,120.0,85.0,5,0,special,generation-iv
466,ominous-wind,ghost,60.0,100.0,5,0,special,generation-iv
467,shadow-force,ghost,120.0,100.0,5,0,physical,generation-iv
468,hone-claws,dark,,,15,0,status,generation-v
469,wide-guard,rock,,,10,3,status,generation-v
47,sing,normal,,55.0,15,0,status,generation-i
470,guard-split,psychic,,,10,0,status,generation-v
471,power-split,psychic,,,10,0,status,generation-v
472,wonder-room,psychic,,,10,0,status,generation-v
473,psyshock,psychic,80.0,100.0,10,0,special,generation-v
474,venoshock,poison,65.0,100.0,10,0,special,generation-v
475,autotomize,steel,,,15,0,status,generation-v
476,rage-powder,bug,,,20,2,status,generation-v
477,telekinesis,psychic,,,15,0,status,generation-v
478,magic-room,psychic,,,10,0,status,generation-v
479,smack-down,rock,50.0,100.0,15,0,physical,generation-v
48,supersonic,normal,,55.0,20,0,status,generation-i
480,storm-throw,fighting,60.0,100.0,10,0,physical,generation-v
481,flame-burst,fire,70.0,100.0,15,0,special,generation-v
482,sludge-wave,poison,95.0,100.0,10,0,special,generation-v
483,quiver-dance,bug,,,20,0,status,generation-v
484,heavy-slam,steel,,100.0,10,0,physical,generation-v
485,synchronoise,psychic,120.0,100.0,10,0,special,generation-v
486,electro-ball,electric,,100.0,10,0,special,generation-v
487,soak,water,,100.0,20,0,status,generation-v
488,flame-charge,fire,50.0,100.0,20,0,physical,generation-v
489,coil,poison,,,20,0,status,generation-v
49,sonic-boom,normal,,90.0,20,0,special,generation-i
490,low-sweep,fighting,65.0,100.0,20,0,physical,generation-v
491,acid-spray,poison,40.0,100.0,20,0,special,generation-v
492,foul-play,dark,95.0,100.0,15,0,physical,generation-v
493,simple-beam,normal,,100.0,15,0,status,generation-v
494,entrainment,normal,,100.0,15,0,status,generation-v
495,after-you,normal,,,15,0,status,generation-v
496,round,normal,60.0,100.0,15,0,special,generation-v
497,echoed-voice,normal,40.0,100.0,15,0,special,generation-v
498,chip-away,normal,70.0,100.0,20,0,physical,generation-v
499,clear-smog,poison,50.0,,15,0,special,generation-v
5,mega-punch,normal,80.0,85.0,20,0,physical,generation-i
50,disable,normal,,100.0,20,0,status,generation-i
500,stored-power,psychic,20.0,100.0,10,0,special,generation-v
501,quick-guard,fighting,,,15,3,status,generation-v
502,ally-switch,psychic,,,15,2,status,generation-v
503,scald,water,80.0,100.0,15,0,special,generation-v
504,shell-smash,normal,,,15,0,status,generation-v
505,heal-pulse,psychic,,,10,0,status,generation-v
506,hex,ghost,65.0,100.0,10,0,special,generation-v
507,sky-drop,flying,60.0,100.0,10,0,physical,generation-v
508,shift-gear,steel,,,10,0,status,generation-v
509,circle-throw,fighting,60.0,90.0,10,-6,physical,generation-v
51,acid,poison,40.0,100.0,30,0,special,generation-i
510,incinerate,fire,60.0,100.0,15,0,special,generation-v
511,quash,dark,,100.0,15,0,status,generation-v
512,acrobatics,flying,55.0,100.0,15,0,physical,generation-v
513,reflect-type,normal,,,15,0,status,generation-v
514,retaliate,normal,70.0,100.0,5,0,physical,generation-v
515,final-gambit,fighting,,100.0,5,0,special,generation-v
516,bestow,normal,,,15,0,status,generation-v
517,inferno,fire,100.0,50.0,5,0,special,generation-v
518,water-pledge,water,80.0,100.0,10,0,special,generation-v
519,fire-pledge,fire,80.0,100.0,10,0,special,generation-v
52,ember,fire,40.0,100.0,25,0,special,generation-i
520,grass-pledge,grass,80.0,100.0,10,0,special,generation-v
521,volt-switch,electric,70.0,100.0,20,0,special,generation-v
522,struggle-bug,bug,50.0,100.0,20,0,special,generation-v
523,bulldoze,ground,60.0,100.0,20,0,physical,generation-v
524,frost-breath,ice,60.0,90.0,10,0,special,generation-v
525,dragon-tail,dragon,60.0,90.0,10,-6,physical,generation-v
526,work-up,normal,,,30,0,status,generation-v
527,electroweb,electric,55.0,95.0,15,0,special,generation-v
528,wild-charge,electric,90.0,100.0,15,0,physical,generation-v
529,drill-run,ground,80.0,95.0,10,0,physical,generation-v
53,flamethrower,fire,90.0,100.0,15,0,special,generation-i
530,dual-chop,dragon,40.0,90.0,15,0,physical,generation-v
531,heart-stamp,psychic,60.0,100.0,25,0,physical,generation-v
532,horn-leech,grass,75.0,100.0,10,0,physical,generation-v
533,sacred-sword,fighting,90.0,100.0,15,0,physical,generation-v
534,razor-shell,water,75.0,95.0,10,0,physical,generation-v
535,heat-crash,fire,,100.0,10,0,physical,generation-v
536,leaf-tornado,grass,65.0,90.0,10,0,special,generation-v
537,steamroller,bug,65.0,100.0,20,0,physical,generation-v
538,cotton-guard,grass,,,10,0,status,generation-v
539,night-daze,dark,85.0,95.0,10,0,special,generation-v
54,mist,ice,,,30,0,status,generation-i
540,psystrike,psychic,100.0,100.0,10,0,special,generation-v
